,Real,prediction
0,252.0,170.2592010498047
1,296.0,207.9820098876953
2,300.0,273.8349609375
3,299.0,278.8708801269531
4,299.0,278.75543212890625
5,297.0,283.9074401855469
6,280.0,271.9339599609375
7,256.0,261.0372619628906
8,247.0,229.6462860107422
9,286.0,218.10592651367188
10,296.0,263.0487060546875
11,288.0,266.66448974609375
12,304.0,243.98936462402344
13,346.0,281.868408203125
14,380.0,339.009765625
15,385.0,373.734619140625
16,371.0,379.3768615722656
17,363.0,361.593505859375
18,375.0,401.5849304199219
19,418.0,504.38433837890625
20,480.0,585.7041015625
21,531.0,704.6710205078125
22,553.0,707.959228515625
23,550.0,576.8114013671875
24,531.0,504.0211181640625
25,515.0,459.99371337890625
26,517.0,430.081787109375
27,525.0,435.11114501953125
28,526.0,454.6951904296875
29,506.0,460.265869140625
30,472.0,428.2901611328125
31,440.0,380.64569091796875
32,424.0,341.39300537109375
33,448.0,339.7535095214844
34,481.0,392.49761962890625
35,476.0,442.5606384277344
36,443.0,441.8124694824219
37,387.0,400.6524658203125
38,327.0,336.57159423828125
39,324.0,276.15863037109375
40,336.0,265.253173828125
41,340.0,291.726806640625
42,332.0,290.71990966796875
43,330.0,265.5619201660156
44,363.0,308.6197204589844
45,438.0,362.2208557128906
46,478.0,488.91339111328125
47,486.0,580.8095703125
48,534.0,598.625
49,890.0,526.8056030273438
50,1060.0,810.8482666015625
51,1040.0,1033.9239501953125
52,970.0,927.3369140625
53,869.0,996.7127685546875
54,713.0,857.70751953125
55,548.0,635.95703125
56,458.0,481.307861328125
57,419.0,368.47271728515625
58,429.0,341.0763854980469
59,447.0,418.5088806152344
60,429.0,450.6979675292969
61,405.0,393.7291259765625
62,401.0,339.99871826171875
63,409.0,347.3492126464844
64,415.0,370.1635437011719
65,422.0,375.25396728515625
66,429.0,385.00177001953125
67,434.0,400.76416015625
68,434.0,405.72076416015625
69,426.0,400.9256591796875
70,417.0,385.5227966308594
71,408.0,369.64874267578125
72,401.0,357.6123046875
73,417.0,351.9688720703125
74,538.0,377.17596435546875
75,659.0,525.6610107421875
76,637.0,677.835693359375
77,568.0,635.0084228515625
78,495.0,515.5502319335938
79,427.0,431.86669921875
80,384.0,364.9449462890625
81,375.0,313.39813232421875
82,374.0,309.6375732421875
83,364.0,305.74755859375
84,339.0,294.0245361328125
85,305.0,271.1839294433594
86,272.0,267.9035949707031
87,244.0,237.63787841796875
88,242.0,206.13055419921875
89,255.0,199.22311401367188
90,272.0,213.97109985351562
91,288.0,226.5043182373047
92,282.0,228.51718139648438
93,265.0,269.37384033203125
94,320.0,372.404052734375
95,518.0,502.44549560546875
96,666.0,828.82373046875
97,687.0,1006.3944702148438
98,683.0,803.5064697265625
99,635.0,679.9954223632812
100,554.0,624.02197265625
101,480.0,520.68701171875
102,431.0,442.4704895019531
103,403.0,398.016357421875
104,418.0,394.43017578125
105,522.0,431.28509521484375
106,583.0,500.82177734375
107,519.0,543.6209106445312
108,486.0,470.7468566894531
109,538.0,409.5380859375
110,574.0,445.58843994140625
111,577.0,561.5859375
112,544.0,553.4138793945312
113,387.0,533.0062866210938
114,344.0,432.08709716796875
115,365.0,349.85638427734375
116,390.0,401.10101318359375
117,447.0,437.27825927734375
118,599.0,483.51556396484375
119,667.0,617.0655517578125
120,595.0,691.00146484375
121,470.0,558.60546875
122,355.0,427.2210388183594
123,320.0,323.6063537597656
124,358.0,283.40692138671875
125,398.0,364.50177001953125
126,370.0,384.3146667480469
127,286.0,327.8709716796875
128,232.0,246.3155517578125
129,257.0,231.55966186523438
130,340.0,267.4046630859375
131,384.0,386.14971923828125
132,430.0,464.6431579589844
133,632.0,453.38031005859375
134,662.0,686.984375
135,671.0,712.375
136,669.0,627.3601684570312
137,614.0,630.0865478515625
138,486.0,591.6153564453125
139,370.0,461.5426940917969
140,322.0,337.39874267578125
141,298.0,295.6758117675781
142,275.0,291.7621765136719
143,250.0,238.7251434326172
144,225.0,223.41522216796875
145,295.0,264.8411865234375
146,342.0,380.3788757324219
147,328.0,463.8660583496094
148,298.0,435.54400634765625
149,246.0,262.60430908203125
150,198.0,237.31689453125
151,180.0,180.0361328125
152,171.0,142.62588500976562
153,166.0,138.5279083251953
154,163.0,126.44146728515625
155,160.0,112.10546112060547
156,158.0,116.95943450927734
157,156.0,123.20783233642578
158,155.0,125.79769897460938
159,155.0,126.1463851928711
160,158.0,126.69185638427734
161,162.0,129.60723876953125
162,166.0,132.2737274169922
163,173.0,135.46795654296875
164,174.0,143.01235961914062
165,114.0,145.9061737060547
166,65.3,91.97820281982422
167,38.8,46.36537170410156
168,36.9,11.607148170471191
169,116.0,12.056365966796875
170,111.0,58.008544921875
171,93.4,85.63507843017578
172,91.1,88.7859878540039
173,99.2,-26.520681381225586
174,93.4,44.736968994140625
175,90.6,99.2444839477539
176,112.0,71.4628677368164
177,139.0,90.36875915527344
178,167.0,123.99862670898438
179,215.0,156.0062255859375
180,365.0,333.1972351074219
181,898.0,677.4135131835938
182,1280.0,1329.4765625
183,1530.0,1859.934814453125
184,1640.0,1804.3193359375
185,1710.0,1847.5302734375
186,2030.0,1764.5589599609375
187,2170.0,2238.14404296875
188,2160.0,2310.556396484375
189,2140.0,2234.86279296875
190,1920.0,2218.294189453125
191,1940.0,1938.4259033203125
192,2000.0,2019.9906005859375
193,1810.0,2108.035400390625
194,1620.0,1796.5406494140625
195,1440.0,1577.3236083984375
196,1340.0,1378.009765625
197,1190.0,1228.8497314453125
198,924.0,1031.38623046875
199,615.0,778.837158203125
200,635.0,544.1048583984375
201,489.0,579.742431640625
202,454.0,496.28851318359375
203,1130.0,553.6504516601562
204,1590.0,1418.1600341796875
205,1670.0,2017.677490234375
206,1650.0,1778.37451171875
207,1700.0,1720.4774169921875
208,1730.0,1697.0330810546875
209,1840.0,1776.2275390625
210,2460.0,1905.8870849609375
211,2520.0,2807.131103515625
212,2500.0,2602.469970703125
213,2420.0,2539.0556640625
214,2290.0,2427.61572265625
215,2140.0,2296.15185546875
216,2080.0,2134.55859375
217,2130.0,2089.276611328125
218,2190.0,2204.729736328125
219,2190.0,2294.518798828125
220,2180.0,2253.052734375
221,2080.0,2245.78466796875
222,1950.0,2096.339599609375
223,1810.0,1937.8985595703125
224,1650.0,1761.1492919921875
225,1460.0,1562.9879150390625
226,1270.0,1338.4017333984375
227,1070.0,1121.5472412109375
228,870.0,924.660888671875
229,760.0,728.9168090820312
230,766.0,622.1397705078125
231,753.0,611.78076171875
232,591.0,615.0181274414062
233,445.0,463.2577209472656
234,374.0,349.104736328125
235,329.0,326.03643798828125
236,286.0,351.299072265625
237,284.0,316.79364013671875
238,393.0,339.2432861328125
239,426.0,570.4064331054688
240,508.0,609.8524169921875
241,626.0,670.6923217773438
242,594.0,656.990478515625
243,552.0,632.9796752929688
244,614.0,519.9263916015625
245,551.0,565.2108154296875
246,501.0,520.2713012695312
247,500.0,464.71392822265625
248,505.0,534.1502685546875
249,571.0,603.735595703125
250,858.0,730.3886108398438
251,1000.0,1061.6768798828125
252,1040.0,1189.11279296875
253,1050.0,1102.337890625
254,1040.0,1121.3167724609375
255,969.0,1054.0892333984375
256,852.0,909.95263671875
257,747.0,781.8009643554688
258,653.0,678.5355834960938
259,571.0,578.3389282226562
260,502.0,502.3119812011719
261,444.0,407.13226318359375
262,400.0,349.2651672363281
263,397.0,338.3533935546875
264,401.0,331.2083740234375
265,405.0,330.86346435546875
266,407.0,338.29608154296875
267,394.0,344.5322570800781
268,365.0,359.3072204589844
269,338.0,323.3554382324219
270,361.0,291.48065185546875
271,352.0,328.3486328125
272,341.0,330.8791198730469
273,362.0,338.730712890625
274,376.0,382.13409423828125
275,266.0,410.4521484375
276,187.0,251.9094696044922
277,246.0,177.45916748046875
278,420.0,260.02392578125
279,427.0,398.57537841796875
280,375.0,342.249755859375
281,306.0,264.0668640136719
282,273.0,301.20001220703125
283,276.0,204.72003173828125
284,277.0,236.10809326171875
285,274.0,235.71566772460938
286,263.0,226.39874267578125
287,240.0,210.25888061523438
288,177.0,212.19961547851562
289,93.2,156.54818725585938
290,90.2,75.55570220947266
291,94.6,71.31551361083984
292,95.0,38.044349670410156
293,90.9,103.15303802490234
294,91.8,28.990262985229492
295,176.0,72.04850769042969
296,235.0,145.2168426513672
297,243.0,202.54310607910156
298,239.0,199.33160400390625
299,219.0,149.1836700439453
300,185.0,150.09271240234375
301,156.0,179.86329650878906
302,128.0,133.01502990722656
303,111.0,109.91455841064453
304,106.0,97.07019805908203
305,104.0,81.63843536376953
306,103.0,83.42891693115234
307,104.0,84.54203033447266
308,114.0,77.81963348388672
309,141.0,92.75243377685547
310,154.0,124.20299530029297
311,151.0,135.29197692871094
312,138.0,119.38785552978516
313,121.0,102.43994140625
314,119.0,102.36593627929688
315,121.0,103.39476776123047
316,120.0,103.14910125732422
317,118.0,106.00934600830078
318,118.0,86.55616760253906
319,131.0,94.6129379272461
320,157.0,113.00469207763672
321,174.0,137.21241760253906
322,186.0,151.65914916992188
323,196.0,158.32473754882812
324,214.0,165.54611206054688
325,243.0,188.88272094726562
326,267.0,232.663330078125
327,279.0,286.29058837890625
328,281.0,332.8175048828125
329,277.0,358.41815185546875
330,273.0,332.30780029296875
331,277.0,319.7007751464844
332,283.0,328.18603515625
333,287.0,347.9788818359375
334,289.0,270.90704345703125
335,290.0,260.8382873535156
336,294.0,269.2105712890625
337,320.0,270.6314697265625
338,343.0,301.9247131347656
339,346.0,330.9547119140625
340,357.0,335.53173828125
341,406.0,376.0914306640625
342,412.0,477.9163513183594
343,394.0,494.7439270019531
344,329.0,426.3863525390625
345,263.0,307.2254638671875
346,256.0,227.49594116210938
347,260.0,217.5494842529297
348,269.0,227.56922912597656
349,280.0,229.5693817138672
350,289.0,223.2818145751953
351,297.0,262.1694030761719
